"(Make sure you keep it in a safe place.)","(Güvenli bir yerde sakladığınızdan emin olunuz.)"
"(Optional. Leave blank for no prefix)","(İsteğe bağlı. Önad kullanmayacaksanız boş bırakınız)"
"(ver. %s)","(vers. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Site adresinden sonra yönetim sayfası için yapılmasını istediğiniz ek (örnek: admin, backend, yonetim vs.)."
"Admin Path","Yönetim Klasörü"
"After successfull installation please click the button below.","Başarılı kurulumdan sonra aşağıdaki butona basınız."
"All packages were installed, click 'OK' to continue with installation.","Tüm paketler kuruldu, kuruluma devam etmek için 'Tamam' tuşuna basınız."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternatif olarak kendiniz de 'Elle indirme ve güncelleme' yöntemini kullanabilirsiniz."
"Base URL","Ana Adres"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Mağazanıza gitmeden önce, bir şifreleme kelimesi belirleyiniz (Magento bu kelimeyi kullanarak güvenlik gerektiren bilgileri daha iyi şifreleyecektir)."
"Check out our","Bunlara da bakınız"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Eğer HTTP Kimlik Doğrulaması kullanılıyorsa ve otomatik olarak Güvenli URL onaylanamıyorsa burayı işaretleyiniz."
"Check this box only if it is not possible to automatically validate the Base URL.","Ana URL otomatik olarak doğrulanamıyorsa bu seçeneği işaretleyiniz."
"Choose this if you would like to test frontend and backend functionality.","Önsayfa ve Yönetim bölümlerini test etmek için buraya tıklayınız."
"Configuration","Ayarlar"
"Confirm Password","Şifre (Tekrar)"
"Connection","Bağlantı"
"Continue","Devam"
"Continue After Manual Download","Elle İndirme işleminden sonra Devam"
"Continue Full Download / SVN Installation","Tam İndirme / SVN Kurulumu ile Devam"
"Create Admin Account","Yönetici Hesabı Oluştur"
"Currently this is the most stable state available for Magento packages.","Bu seçenek Magento Paketlerinin kurulumu açısından en güvenilir yoldur."
"Database","Veritabanı"
"Database Connection","Veritabanı Bağlantısı"
"Database Name","Veritabanı Adı"
"Database Name cannot be empty.","Veritabanı adı boş bırakılamaz."
"Database Type","Veritabanı Tipi"
"Database connection error.","Veritabanı bağlantı hatası."
"Database host","Veritabanı sunucusu"
"Database server does not support the InnoDB storage engine.","Veritabanı sınıcısı InnoDB motorunu desteklemiyor."
"Database user name","Veritabanı kullanıcı adı"
"Database user password","Veritabanı kullanıcı şifresi"
"Default Currency","Varsayılan Para Birimi"
"Download","İndir"
"Download Magento Core Modules and Updates","Magento Ana Modüller ve Güncellemeler"
"Downloading and installing Magento, please wait...","Magento indirilip kuruluyor. Lütfen bekleyiniz..."
"Email","Email"
"Email Address","Email Adresi"
"Enable Charts","İstatiksel Grafikler Açık"
"Enable this option if you want the charts to be displayed on Dashboard.","Genel Görünüm ekranında istatistik grafikleri gösterilsin."
"Enable this option only if you have SSL available.","Bu özelliği sadece SSLiniz hazırsa kullanınız."
"Encryption Key","Şifreleme Anahtar Kelimesi"
"File System","Dosya Sistemi"
"First Name","Adınız"
"Full Download / SVN Installation","Tam İndirme / SVN Kurulumu"
"Get ready to experience Open-Source eCommerce Evolved.","Açık Kaynaklı Elektronik Ticaret deneyimine hazırlanın."
"Go to Backend","Yönetim Sayfasına Git"
"Go to Frontend","Mağaza Ön Sayfasına Git"
"Having trouble installing Magento?","Magento kurulumunda sorununuz mu var ?"
"Help Us to Keep Magento Healthy","Magento'nun kaliteli kalmasına yardımcı olun"
"Host","Sunucu"
"I agree to the above terms and conditions.","Kullanım koşullarını kabul ediyorum."
"If you are a developer and would like to have the latest public updates, choose this option.","Eğer bir programcıysanız ve son güncellemelerle, genele açık olmayan yenilikleri görmek istiyorsanız burayı işaretleyin."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","PHP yi CGI olarak kullanıyorsanız, PHP işlevlerinizi çalıştıran kullanıcı Magento'yu yükleyen kullanıcı ile aynı olmalıdır."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Eğer daha önce indirilmiş ve kurulmuş bir Magento kurulumu üzerinde kurulum sihirbazı çalıştırıyorsanız bu seçeneği işaretleyiniz."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Eğer Magento dizinlerine web uygulamaları tarafından yazılmasını istemiyorsanız, Magento kurulum dizinindeki PEAR yazılımını kullanın."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Eğer tam paket indirip kurduysanız veya SVN üzerinden kurulum yaptıysanız , aşağıdaki butona tıklayarak paket kurulum ve onaylama kısmını atlayabilirsiniz."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Magento paketlerini web yönetim ekranından yönetmek istiyorsanız, Magento klasörlerine ve dosyalarına web işlevlerinden yazma izni vermelisiniz."
"If your server is running on MS Windows, most probably you will not need to change anything.","Eğer MS Windows sunucu üzerinde çalışıyorsanız hiç bir değişiklik yapmanıza gerek yoktur."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","Diğer durumlarda Magento klasörlerine ve dosyalarına web işlevlerinden yazma izni vermelisiniz."
"Installation","Kurulum"
"Installation Guide","Kurulum Rehberi"
"Installer does not exist for %s database type","%s veritabanı tipi için kurulum kütüphanesi bulunamadı"
"Last Name","Soyadınız"
"License Agreement","Lisans Onayı"
"Locale","Yerel"
"Locale settings","Yerelleştirme Ayarlar"
"Localization","Yerelleştirme"
"Login Information","Giriş Bilgisi"
"Magento","Magento"
"Magento Connect Manager Deployment","Magento Connect Manager Yüklemesi"
"Magento Installation Wizard","Magento Kurulum Sihirbazı"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento, Magento Inc. Şirketinin Tescilli Markasıdır. &copy; %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento bu anahtar kelimeyi güvenlik gerektiren bilgileri daha güvenli saklamak için kullanır. Bu alanı boş bırakırsanız sistem otomatik olarak bir anahtar kelime oluşturur ve bir sonraki sayfada gösterir."
"Manual Downloads and Upgrades","Elle indirme ve güncelleme"
"No resource for %s DB model.","%s DB modeli için kaynak bulunamadı."
"One of PHP Extensions ""%s"" must be loaded.","Yüklenmesi gereken PHP eklentileri var : ""%s"" "
"PHP Extension '%s' loaded","'%s' adl PHP kütüphanesi yüklendi"
"PHP Extensions ""%s"" must be loaded.","""%s"" PHP eklentileri gerekiyor."
"PHP extension ""%s"" must be loaded.","""%s""  adlı PHP eklentisi yüklenmeli."
"Package Management through the Web","Web üzerinden paket yönetimi"
"Password","Şifre"
"Password Confirmation","Şifre (Tekrar)"
"Path ""%s"" must be writable.","""%s"" klasörüne yazma hakkı vermelisiniz."
"Personal Information","Kişisel Bilgi"
"Please correct the user data and try again.","Kullanıcı verisini düzeltip tekrar deneyiniz."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Apache ayarlarında  <code>mod_rewrite</code>'ın açık olduğundan emin olunuz."
"Please note that it is much less stable than beta.","Lütfen Dikkat ! Bu beta sürümden daha az stabildir."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Sadece UNIX, Linux ve Mac OS X üzerindeki konsollar (shell erişimi) desteklenmektedir. Windows için '%s' seçeneğini kullanınız."
"Please set all required settings before clicking Continue","Lütfen gerekli olan tüm ayarları yaptıktan sonra Devam tuşuna basınız"
"Preferred stability: %s","Tercih Edilen Stabilite : %s"
"Proceed With Automatic Download (%s)","Otomatik İndirme ile Devam Et (%s)"
"Provide a complete base URL for SSL connection. For example: %s","SSL bağlantısı için tam adres giriniz. Örnek : %s"
"Report All Bugs","Bütün Hataları Rapor Ediniz"
"Required Fields","Doldurulması zorunlu alanlar"
"Response from server isn\'t valid.","Sunucudan geçersiz bir cevap alındı."
"Run admin interface with SSL","Yönetici Sayfasını SSL kullanarak aç"
"Run this in your shell from Magento root folder:","Bunu Magento ana dizininde konsolu kullanarak çalıştırınız :"
"Save Session Data In","Oturum verisinin kaydedileceği yer"
"Save Session Files In","Oturum dosyalarının kaydedileceği yer"
"Secure Base URL","Güvenli Adres"
"Session Storage Options","Oturum Verisi Depolama Seçenekleri"
"Setting preferred state to: %s","Tercih edilen durum ayarlanıyor : %s"
"Skip Base URL Validation Before the Next Step","Bir Sonraki Adımda Ana Adresin Doğrulanmasını Atla"
"Skip Secure URL validation before next step","Güvenli Adres kontrolünü atla"
"Tables Prefix","Tablolar için önad"
"The URL ""%s"" is invalid.","""%s"" adresi hatalı."
"The URL ""%s"" is not accessible.","""%s"" adresine erişilemiyor."
"The database server version doesn\'t match system requirements (required: %s, actual: %s).","Veritabanı sunucusu gerekli özelliklere sahip değil (gereken: %s, varolan: %s)."
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_), the first character should be a letter.","Tablo adı ön eki sadece harfler (a-z), rakamlar (0-9) veya altçizgi  (_) içerebilir, ilk karakter kesinlikle harf olmalıdır."
"There was a problem installing Magento packages. Please read the log, correct errors and try again.","Magento paketleri yüklenirken bir hata oluştu. Hata günlüğünü kontrol edin, hatalı düzeltin ve tekrar deneyin."
"Time Zone","Zaman Dilimi"
"Use Secure URLs (SSL)","Güvenli Adresi Kullan (SSL)"
"Use Web Server (Apache) Rewrites","(Apache) Yeniden Yazma (Rewrite) Kullan"
"User Name","Kullanıcı Adı"
"User Password","Şifre"
"Username","Kullanıcı"
"Validation","Doğrulama"
"Web access options","Web erişim seçenekleri"
"Welcome","Hoşgeldiniz"
"Welcome to Magento's Installation Wizard","Magento Kurulum Sihirbazına Hoşgeldiniz"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Sunucu portu belirtebilirsiniz, Örnek: localhost:3307<br />Varsayılan UNIX soketini kullanmıyorsanız, doğrusunu burada belirtebilirsiniz, Örnek: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Web sunucusu için Adres Yeniden Yazımı özelliği arama motorlarının sitenizi indekslemesini kolaylaştırır."
"You're All Set","Ayarlarınız kaydedildi"
"You're All Set!","Tebrikler, başarılı bir kurulum yaptınız !"