"""Remember Me"" Default Value","Valoare implicita ""Tine-ma minte"""
"(Not %s?)","(Nu esti %s?)"
"* Required Fields","* Campuri obligatorii"
"Address","Adresa"
"Address Information","Informatii adresa"
"Already registered?","Deja inregistrat?"
"Back","Inapoi"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Prin crearea unui cont in magazinul nostru, vei putea sa te deplasezi mai rapid prin intermediul procesului de cumparare, salva mai multe adrese de livrare, vedea si urmari comenzile in contul tau si multe altele. "
"Cannot load configuration from file %s.","Configurarea din fisierul %s nu se poate incarca."
"Checkout as Guest","Finalizare comanda ca vizitator"
"Checkout as a Guest or Register","Finalizeaza comanda ca vizitator sau inregistreaza-te"
"City","Localitate"
"Clear Persistence on Log Out","Sterge persistenta la deconectare"
"Close","Inchide"
"Company","Companie"
"Confirm Password","Confirma parola"
"Continue","Continua"
"Country","Tara"
"Create an Account","Creeaza cont"
"Easy access to your order history and status","Acces usor la istoric si status comanda"
"Email Address","Adresa email"
"Enable ""Remember Me""","Activeaza ""Tine-ma minte"""
"Enable Persistence","Activare persistenta"
"Fast and easy check out","Finalizare comanda rapid si usor"
"Fax","Fax"
"Forgot Your Password?","Ai uitat parola?"
"Forgot your password?","Ai uitat parola?"
"General Options","Optiuni generale"
"If you have an account with us, please log in.","Daca ai un cont pe website-ul nostru, te rugam sa te autentifici."
"Loading next step...","Se incarca pasul urmator..."
"Login","Autentificare"
"Login Information","Informatii autentificare"
"Login or Create an Account","Autentificare sau Creare cont"
"New Customers","Clienti noi"
"Password","Parola"
"Persist Shopping Cart","Fa persistent cosul de cumparaturi"
"Persistence Lifetime (seconds)","Durata persistenta (secunde)"
"Persistent Shopping Cart","Cos de cumparaturi persistent"
"Personal Information","Informatii personale"
"Please log in below:","Te rugam sa te autentifici mai jos:"
"Please select region, state or province","Te rugam sa selectezi judetul"
"Register","Inregistrare"
"Register and save time!","Inregistreaza-te si economisesti timp!"
"Register to Create an Account","Inregistreaza-te ca sa creezi un cont"
"Register with us for future convenience:","Inregistreaza-te pentru avantaje ulterioare:"
"Registered Customers","Clienti inregistrati"
"Remember Me","pastreaza-ma logat"
"Save in address book","Salveaza in agenda"
"Select State/Province...","Selecteaza judetul..."
"Select a billing address from your address book or enter a new address.","Selecteaza o adresa de livrare pentru agenda ta sau introdu o adresa noua."
"Ship to different address","Livreaza la o adresa diferita"
"Ship to this address","Livreaza la aceasta adresa"
"Shopping cart has been updated with appropriate prices","Cosul de cumparaturi a fost actualizat cu preturile corespunzatoare"
"Sign Up for Newsletter","Doresc abonare la newsletter"
"State/Province","Judet"
"Street Address","Adresa"
"Street Address %s","Adresa %s"
"Submit","Trimite"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","Pentru a finaliza comanda, va rugam autentificati-va folosind adresa de email"
"VAT Number","Cod fiscal"
"Welcome, %s!","Bine ai venit, %s!"
"What\'s this?","Ce este asta?"
"Zip/Postal Code","Cod postal"