"Abandoned Carts","Abandoned Carts"
"Abandoned carts","Abandoned carts"
"Action","செயல்"
"Add to Cart","ஷாப்பிங் வண்டியில் சேர்க்கவும்"
"Add to Compare","ஒப்புநோக்க சேர்"
"Add to Wishlist","விருப்பப்பட்டியலில் சேர்க்கவும்"
"Any","Any"
"Applied Coupon","Applied Coupon"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation."
"Are you sure?","உறுதி  தானே ?"
"Avg. Approved Rating","Avg. Approved Rating"
"Avg. Rating","Avg. Rating"
"Bestsellers","Bestsellers"
"Bought from wishlists","Bought from wishlists"
"CSV","CSV"
"Carts","Carts"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Coupons","Coupons"
"Coupons Usage Report","Coupons Usage Report"
"Created At","Created At"
"Current Month Starts","Current Month Starts"
"Customer","வாடிக்கையாளர்"
"Customer Name","Customer Name"
"Customer Tags","Customer Tags"
"Customers","Customers"
"Customers Report","Customers Report"
"Customers Reviews","Customers Reviews"
"Customers Tags","Customers Tags"
"Customers by Number of Orders","Customers by Number of Orders"
"Customers by Orders Total","Customers by Orders Total"
"Customers by number of orders","Customers by number of orders"
"Customers by orders total","Customers by orders total"
"Customers that have wishlist: %s%","Customers that have wishlist: %s%"
"Dashboard","Dashboard"
"Day","Day"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Description"," விளக்கம் "
"Detail","Detail"
"Downloads","Downloads"
"Email","மின்னஞ்சல்"
"Empty Rows","Empty Rows"
"Excel XML","Excel XML"
"Filter","Filter"
"First Name","முதல் பெயர்"
"From","From"
"Guest","விருந்தினர்"
"Hits","Hits"
"ID","குறியீடு "
"IP Address","IP Address"
"Index model name must be defined","Index model name must be defined"
"Invalid date specified.","Invalid date specified."
"Invoiced","Invoiced"
"Items in Cart","Items in Cart"
"Last Name","கடைசி பெயர் "
"Last Review","Last Review"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Low Stock","Low Stock"
"Low stock","Low stock"
"Match Period To","Match Period To"
"Month","Month"
"Most Viewed","Most Viewed"
"Name","பெயர்"
"New Accounts","New Accounts"
"No","இல்லை"
"Number Added","Number Added"
"Number Fulfilled","Number Fulfilled"
"Number Of Reviews","Number Of Reviews"
"Number Purchased","Number Purchased"
"Number Viewed","Number Viewed"
"Number of Items","Number of Items"
"Number of New Accounts","Number of New Accounts"
"Number of Products to display","Number of Products to display"
"Number of Reviews","Number of Reviews"
"Number of Times Deleted","Number of Times Deleted"
"Number of Total Tags","Number of Total Tags"
"Number of Unique Tags","Number of Unique Tags"
"Number of Views","Number of Views"
"Number of items bought from a wishlist: %s","Number of items bought from a wishlist: %s"
"Number of times wishlists have been shared (emailed): %s","Number of times wishlists have been shared (emailed): %s"
"Number of wishlist conversions: %s","Number of wishlist conversions: %s"
"Number of wishlist referrals: %s","Number of wishlist referrals: %s"
"Number of wishlists: %s","Number of wishlists: %s"
"Order Status","ஆர்டரின் நிலை "
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Orders","ஆர்டர்கள் "
"Out of stock","Out of stock"
"Period","Period"
"Poducts Report","Poducts Report"
"Popular Tags","Popular Tags"
"Popularity","Popularity"
"Price","விலை"
"Product Name","Product Name"
"Product Reviews","Product Reviews"
"Product SKU","Product SKU"
"Product Tags","Product Tags"
"Products","Products"
"Products Ordered","Products Ordered"
"Products Report","Products Report"
"Products Reviews","Products Reviews"
"Products Tags","Products Tags"
"Products in carts","Products in carts"
"Purchases","Purchases"
"Quantity Ordered","Quantity Ordered"
"Quantity of Items","Quantity of Items"
"Recently Compared","Recently Compared"
"Recently Compared Products","Recently Compared Products"
"Recently Viewed","Recently Viewed"
"Recently Viewed Products","Recently Viewed Products"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Refresh Lifetime Statistics","Refresh Lifetime Statistics"
"Refresh Statistics","Refresh Statistics"
"Refresh Statistics for the Last Day","Refresh Statistics for the Last Day"
"Refunds","Refunds"
"Report","Report"
"Reports","Reports"
"Results","Results"
"Revenue","Revenue"
"Review","Review"
"Reviews","Reviews"
"Reviews for %s","Reviews for %s"
"Sales","விற்பனை "
"Sales Report","Sales Report"
"Search Query","Search Query"
"Search Terms","Search Terms"
"Select day of the month.","Select day of the month."
"Shipping","Shipping"
"Shopping Cart","Shopping Cart"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Show Actual Values","Show Actual Values"
"Show Report","Show Report"
"Show for Current","Show for Current"
"Specified","Specified"
"Statistics","Statistics"
"Stock Qty","Stock Qty"
"Submitted In","Submitted In"
"Submitted On","Submitted On"
"Subtotal","உட்தொகை"
"Tag","Tag"
"Tag ""%s"" details","Tag ""%s"" details"
"Tag Detail","Tag Detail"
"Tag Name","Tag Name"
"Tag Use","Tag Use"
"Tags Submitted by %s","Tags Submitted by %s"
"Tags submitted to %s","Tags submitted to %s"
"Tax","Tax"
"Title","தலைப்பு"
"To","To"
"Total","Total"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Total Ordered Report","Total Ordered Report"
"Total Refunded Report","Total Refunded Report"
"Total Shipped Report","Total Shipped Report"
"Total Tags","Total Tags"
"Total invoiced","Total invoiced"
"Total refunded","Total refunded"
"Updated At","புதுப்பிக்கப்பட்ட நேரம் "
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Visible In","Visible In"
"Wishlist Report","Wishlist Report"
"Wishlist vs. Regular Order","Wishlist vs. Regular Order"
"Wishlists","Wishlists"
"Year","Year"
"Year-To-Date Starts","Year-To-Date Starts"
"Yes","ஆம்"
"Your Recently Compared","Your Recently Compared"
"Your Recently Viewed","Your Recently Viewed"
"undefined","undefined"