"All Websites","அனைத்து வலைப்பக்கங்கள் "
"Apply Discounts To FPT","நிலையான உற்பத்தி வரி தள்ளுபடிகள் விண்ணப்பிக்க"
"Display Prices In Emails","மின்னஞ்சலில் விளைகளைக்காண்பி"
"Display Prices In Product Lists","பொருள் பட்டியல்களில் விளைகளைக்காண்பி"
"Display Prices In Sales Modules","விற்பனைக்கூடகத்தில் விளைகளைக்காண்பி"
"Display Prices On Product View Page","பொருட்கள் காண் பக்கத்தில் விளைகளைக்காண்பி"
"Enable FPT","நிலையான உற்பத்தி வரியை  இயலுமைப்படுத்து"
"Excluding FPT","நிலையான உற்பத்தி வரியை  தவிர்க்கவும் "
"Excluding FPT, FPT description, final price","நிலையான உற்பத்தி வரி , நிலையான உற்பத்தி வரி  விளக்கம், இறுதி விலை நீங்கலாக"
"FPT Tax Configuration","FPT Tax Configuration"
"Fixed Product Tax","நிலையான உற்பத்தி வரி"
"Fixed Product Taxes","நிலையான உற்பத்தி வரிகள் "
"Include FPT In Subtotal","நிலையான உற்பத்தி வரியை  கூட்டுத்தொகையில் சேர்க்கவும் "
"Including FPT and FPT description"," நிலையான உற்பத்தி வரி , நிலையான உற்பத்தி வரி  விளக்கம் உள்ளிட்ட"
"Including FPT and FPT description [incl. FPT VAT]"," நிலையான உற்பத்தி வரி , நிலையான உற்பத்தி வரி  விளக்கம் உள்ளிட்ட (மேலும் மதிப்பு கூடு வரியையும்)"
"Including FPT only"," நிலையான உற்பத்தி வரி மட்டும் "
"Loaded and Displayed with Tax","Loaded and Displayed with Tax"
"Not Taxed","Not Taxed"
"Taxed","Taxed"
"Total","மொத்தம் "
"Total Incl. Tax","மொத்தம் வரியுடன் "
"Total excl. tax","Total excl. tax"
"Total incl. tax","மொத்தம் வரி உட்பட "