"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" stokta istediğiniz adette yok. %s adet ürün için ön sipariş kaydı oluşturulacak."
"%s is available for purchase in increments of %s only.","%s alışverişe uygundur. %s arttırılarak alınabilir."
"%s is not a correct comparsion method.","%s geçerli bir karşılaştırma yöntemi değil."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Not:</strong> Bu ayarlar yalnız sipariş satırlarını etkiler, siparişin genelini etkilemez."
"Add Minimum Qty","En Az Miktarda Ekleyin"
"Allow Qty Below 0","Sıfırın altındaki adetlere izin verilsin"
"Allow Qty Below 0 and Notify Customer","Sıfırın altındaki adetlere izin verilsin ancak müşteriye de bildirilsin"
"Automatically Return Credit Memo Item to Stock","Müşteriye Alacak Kaydı düşüldüyse 'Ürün Kendiliğinden Stoğa Geri Döndürülsün'"
"Backorders","Ardısmarlama (Stokta olmayan ürünü ısmarlama)"
"By Fixed value","Sabit fiyatlı"
"By Percentage","Yüzde ile"
"Cannot specify product identifier for the order item.","Siparişteki ürünün tanımlayıcısı bulunamadı."
"Catalog Inventory","Katalog Envanteri"
"Decrease Stock When Order is Placed","Sipariş verildiğinde stoktan düş"
"Display Out of Stock Products","Stokta olmayan ürünleri sitede göster"
"Display products availability in stock in the frontend","Display products availability in stock in the frontend"
"Enable Qty Increments","Adet Artırmaya İzin Ver"
"In Stock","Stokta var"
"Index Product Stock Status","Ürün Stok Durumlarını İndeksle"
"Inventory","Envanter"
"Inventory API","Envanter API si"
"Inventory Section","Envanter Bölümü"
"Manage Stock","Stok Yönetimi"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek adet"
"Minimum Qty","En Az Adet"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük adet"
"Multi update product stock data","Multi update product stock data"
"No Backorders","Ardısmarlama kabul edilmez"
"Not all products are available in the requested quantity","İstediğiniz Ürün(ler) İstediğiniz adetler için stok yetersiz"
"Notify for Quantity Below","Stok alarmı için en düşük rakam"
"Only X left Threshold","Sadece X adet kaldı uyarısı için aralık"
"Out of Stock","Stokta Yok"
"Product Stock Options","Ürün Stok Seçenekleri"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Qty Increments","Adet Artırımları"
"Qty for Item's Status to Become Out of Stock","Ürünün Stokta Yok olarak gözükmesi için gereken adet"
"Retrieve stock data","Stok bilgisi al"
"Retrieve stock data by product ids","Ürün numaralarına göre stok bilgisi al"
"Rule price","Kural fiyatı"
"Set Items' Status to be In Stock When Order is Cancelled","Sipariş iptal edildiğinde ürünü stoğa iade et ve Stokta Var olarak göster"
"Some of the products are currently out of stock.","Some of the products are currently out of stock."
"Some of the products cannot be ordered in requested quantity.","İstenen bazı ürünler istendiği adette siparişe eklenemez."
"Some of the products cannot be ordered in the requested quantity.","İstenen bazı ürünler istendiği adette siparişe eklenemez."
"Stock Options","Stok Seçenekleri"
"Stock Status","Stok Durumu"
"The maximum quantity allowed for purchase is %s.","Ürün için izin verilen en az sipariş adedi : %s. "
"The minimum quantity allowed for purchase is %s.","Ürün için izin verilen en çok sipariş adedi : %s."
"The requested quantity for ""%s"" is not available.","""%s"" adlı ürün için talep ettiğiniz miktar stokta bulunmamaktadır."
"The stock item for Product in option is not valid.","Seçenekteki üründeki stok kaydı hatalı."
"The stock item for Product is not valid.","Bu ürün için stok bilgisi hatalı."
"This product is available for purchase in increments of %s only.","Bu ürün gereken artırma %s ile alındığında satın almaya açıktır."
"This product is currently out of stock.","Ürün stokta yok."
"This product is not available in the requested quantity. %s of the items will be backordered.","Stoklarda bu üründen istediğiniz kadar yok. %s adet ürün önsipariş olarak eklenecek."
"To Fixed Value","Sabit Fiyatlı"
"To Percentage","Yüzdeli"
"Undefined product type.","Belirlenmemiş ürün tipi."
"Update","Güncelle"
"Update product stock data","Ürün stok verisini güncelle"
"Update the Product","Ürünü Güncelle"