"%s Item(s)","%s Ürün"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Magento Demo Store. All Rights Reserved."
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","Değeri değiştirmek için (Shift-)Sol tık yapın veya fareyi basılı tutarken sürükleyin"
"(ver. %s)","(vers. %s)"
"- Click on any of the time parts to increase it","- Herhangi bir zaman bölmesine tıklayıp değerini artırabilirsiniz"
"- Hold mouse button on any of the above buttons for faster selection.","- Hızlı seçim yapmak için yukarıdaki butonların üzerinde fareyi basılı tutunuz."
"- Use the %s buttons to select month","- Ay seçmek için %s butonlarını kullanınız"
"- Use the %s, %s buttons to select year","- Ay seçmek için %s, %s butonlarını kullanınız"
"- or Shift-click to decrease it","- veya azaltmak için Shift-sol tık yapınız"
"- or click and drag for faster selection.","- veya fare tuşu basılıyken sürükleyiniz."
"-- Please Select --","-- Lütfen Seçiniz --"
"1 column","1 kolon"
"2 columns with left bar","2 kolon menü solda"
"2 columns with right bar","2 kolon menü sağda"
"3 columns","3 kolon"
"About the calendar","Takvim hakkında"
"All Empty Layout Pages","Boş Sayfa"
"All One-Column Layout Pages","Tüm Tek Kolon Yapı Sayfaları"
"All Pages","Tüm Sayfalar"
"All Pages (Print Version)","Tüm sayfalar (Yazıcı Sürümü)"
"All Three-Column Layout Pages","Tüm 3 Kolon Yapı Sayfaları"
"All Two-Column Layout Pages (Left Column)","Tüm 2 Kolon Yapı Sayfaları (Menü Solda)"
"All Two-Column Layout Pages (Right Column)","Tüm 2 Kolon Yapı Sayfaları (Menü Sağda)"
"Allow","İzin Ver"
"Breadcrumbs","Yol Bağlantıları"
"Click <a href=""%s"">here</a> if nothing has happened","Hiç bir şey olmadıysa <a href=""%s"">buraya tıklayınız</a>"
"Close","Kapat"
"Close Window","Pencereyi Kapat"
"DHTML Date/Time Selector","DHTML Tarih/Saat seçici"
"Date selection:","Tarih Seçimi :"
"Default Description","Varsayılan Meta Açıklama (Description)"
"Default welcome msg!","Hoşgeldiniz !"
"Display %s first","Önce %s göster"
"Distributed under GNU LGPL. See %s for details.","GNU LGPL Lisansıyla dağıtılmaktadır. Detaylar için %s."
"Drag to move","Taşımak için sürükleyiniz"
"Empty","Boş"
"For latest version visit: %s","Son sürüm için : %s"
"Free Shipping on orders over 50$","50$ üzerindeki siparişlerde Kargo Ücretsiz"
"Go Today","Bugüne git"
"Help Us to Keep Magento Healthy","Magento'nun sağlıklı çalışması için bize yardımcı olun"
"Interface Language","Arayüz Dili"
"Items %s to %s of %s total","Gösterilen %s - %s / Toplam : %s "
"JavaScript seems to be disabled in your browser.","Tarayıcı yazılımınızda javascript desteği kapalı görünüyor."
"Left Column","Sol Kolon"
"Main Content Area","Ana İçerik Alanı"
"Navigation Bar","Gezinme Barı"
"Next","Sonraki"
"Next month (hold for menu)","Sonraki Ay (menü için basılı tutunuz)"
"Next year (hold for menu)","Sonraki yıl (menü için basılı tutunuz)"
"Page Bottom","Sayfa Altı"
"Page Footer","Sayfa Altı"
"Page Header","Sayfa Başı"
"Page Top","Sayfa Başı"
"Page:","Sayfa :"
"Prev. month (hold for menu)","Önceki Ay (menü için basılı tutunuz)"
"Prev. year (hold for menu)","Önceki Yıl (menü için basılı tutunuz)"
"Previous","Önceki"
"Redirecting...","Yönlendiriliyor..."
"Report All Bugs","Hataları Raporla"
"Right Column","Sağ Kolon"
"Select Store","Mağaza Seç"
"Select Store:","Mağaza Seçiniz :"
"Select date","Tarih seçiniz"
"Show","Göster"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Bu bir demo mağazadır. Vereceğiniz siparişler ve yaptığınız işlemler dikkate alınmayacaktır."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below."
"Time selection:","Zaman seçimi :"
"Time:","Zaman :"
"Welcome, %s!","Hoşgeldiniz, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Bu sitenin tüm özelliklerinin düzgün çalışması için Javascript çalıştırma özelliğinin açık olması gerekiyor."
"Your Language","Kullandığınız Dil"
"Your Language:","Seçtiğiniz Dil :"
"per page","sayfa başı"