"%d Review(s)","%d Yorum"
"%s Review(s)","%s Yorum"
"(Posted on %s)","(%s tarihinde gönderildi)"
"1 star","1 yıldız"
"2 stars","2 yıldız"
"3 stars","3 yıldız"
"4 stars","4 yıldız"
"5 stars","5 yıldız"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Yorum Ekle"
"Add Your Review","Yorum Ekleyin"
"Administrator","Yönetici"
"All Reviews","Tüm Yorumlar"
"All Reviews of Customer `%s`"," `%s` Adlı Müşterinin Tüm Yorumları"
"All Reviews of Product `%s`","`%s` Adlı Ürün İçin Yapılan Tüm Yorumlar"
"Allow Guests to Write Reviews","Misafirlerin de yorum yapmasına izin ver"
"Approved","Onaylandı"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz ?"
"Are you sure?","Emin misiniz ?"
"Average Customer Rating","Ortalama Müşteri Puanı "
"Average Customer Rating:","Ortalama Müşteri Puanı:"
"Back","Geri"
"Back to Main Product Info","Ürün Detayına Geri Dön"
"Back to My Reviews","Yorumlarım Sayfasına Dön"
"Back to Product Reviews","Ürün Yorumlarına Dön"
"Be the first to review this product","Bu ürünü ilk yorumlayan siz olun"
"Catalog Product Review View","Ürün Yorum Görünümü"
"Catalog Product Reviews List","Ürün Yorumları Listesi"
"Created On","Oluşturulma Tarihi "
"Customer","Müşteri"
"Customer My Account Product Reviews","Müşteri Hesabındaki Ürün Yorumları"
"Customer My Account Review Details","Müşteri Hesabındaki Ürün Yorum Detayları"
"Customer Reviews","Müşteri Yorumları"
"Customers Reviews","Müşteri Yorumları"
"Delete","Sil"
"Delete Review","Yorumu Sil"
"Detailed Rating","Detaylı Puanlama"
"Edit Review '%s'","Yorumu Düzenle : '%s'"
"Guest","Misafir"
"How do you rate this product?","Bu ürüne kaç puan verirsiniz ?"
"ID","No"
"Manage Ratings","Puanları Yönet"
"My Product Reviews","Ürün Yorumlarım"
"My Recent Reviews","Geçmiş Yorumlarım"
"Name","Adı"
"Name in Store","Mağazadaki Adı"
"New Review","Yeni Yorum"
"Nickname","Takma Ad (Nick)"
"Nickname can\'t be empty","Takma ad alanı boş geçilemez"
"Not Approved","Onaylanmadı"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Sadece kayıtlı müşterilerimiz yorum yapabilir. Lütfen, <a href=""%s"">giriş yapın</a> veya <a href=""%s"">üye olun</a>"
"Pending","Beklemede"
"Pending Reviews","Bekleyen Yorumlar"
"Pending Reviews of Customer `%s`","`%s` Adlı Müşterinin Bekleyen Yorumları"
"Please select a product","Lütfen bir ürün seçiniz"
"Please select one of each of the ratings above","Lütfen aşağıdaki puanlama seçeneklerinden istediklerinizi seçiniz"
"Posted By","Gönderen"
"Price","Fiyat"
"Product","Ürün"
"Product Name","Ürün Adı"
"Product Rating","Ürün Puanı"
"Product Rating:","Ürün Puanı:"
"Product Review (submitted on %s):","Ürün Yorumu (%s tarihinde gönderildi):"
"Product Reviews","Ürün Yorumları"
"Product SKU","Ürün Kodu"
"Products Reviews","Ürün Yorumları"
"Qty","Adet"
"Rating:","Puan:"
"Review","Yorum"
"Review (submitted on %s):","Yorum (%s):"
"Review Details","Yorum Detayları"
"Review Form Fields Before","Yorum Form Alanlarından Önce"
"Review by <span>%s</span>","Yorumlayan : <span>%s</span>"
"Review can\'t be empty","Yorum alanı boş geçilemez"
"Review summary can\'t be empty","Yorum özeti alanı boş geçilemez"
"Reviews and Ratings","Yorumlar ve Puanlar"
"SKU","Ürün Kodu"
"Save Review","Yorumu Kaydet"
"Status","Durum"
"Submit Review","Yorumu Gönder"
"Summary Rating","Puan Özeti"
"Summary of Review","Yorum Özeti"
"Summary of Your Review","Yorumunuzun Özeti"
"Title","Başlık"
"Type","Tip"
"Unable to post the review.","Yorum gönderilemedi."
"Update Status","Durumu Güncelle"
"View All Reviews","Bütün Yorumları Göster"
"View Details","Detayları Göster"
"Visible In","Görüneceği Yer"
"Websites","Web Siteleri"
"Write Your Own Review","Kendi Yorumunuzu Yazın"
"You have submitted no reviews.","Yorum eklemediniz."
"You're reviewing:","Yorumladığınız ürün :"
"Your Rating:","Puanınız :"
"Your Review (submitted on %s):","Yorumunuz (%s tarihinde gönderildi):"
"Your review has been accepted for moderation.","Yorumunuz onaylanmak üzere kaydedildi."